Type,Level,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Diesel,1,17.20123217,17.20123217,16.14173598,15.0822398,14.02274361,12.96324743,12.5893076,12.21536777,11.84142794,11.46748811,11.09354828,10.71960845,10.34566862,9.971728793,9.597788963,9.223849133,8.849909303,8.475969474,8.102029644,7.728089814,7.354149984
Diesel,2,17.20123217,17.20123217,16.6299352,16.05863824,15.48734128,14.91604432,14.73876914,14.56149396,14.38421878,14.2069436,14.02966843,13.85239325,13.67511807,13.49784289,13.32056771,13.14329253,12.96601736,12.78874218,12.611467,12.43419182,12.25691664
Diesel,3,17.20123217,17.20123217,17.11813443,17.03503669,16.95193894,16.86884121,16.88823068,16.90762015,16.92700963,16.9463991,16.96578857,16.98517804,17.00456751,17.02395699,17.04334646,17.06273593,17.08212541,17.10151488,17.12090435,17.14029382,17.15968329
Diesel,4,17.20123217,17.20123217,17.60633365,18.01143513,18.41653661,18.8216381,19.03769222,19.25374634,19.46980047,19.68585459,19.90190872,20.11796284,20.33401696,20.55007109,20.76612521,20.98217933,21.19823346,21.41428758,21.63034171,21.84639583,22.06244995
Heavy Fuel oil,1,9.556240093,9.556240093,8.967631102,8.37902211,7.790413119,7.201804128,6.994059778,6.786315428,6.578571078,6.370826729,6.163082379,5.955338029,5.747593679,5.539849329,5.332104979,5.124360629,4.91661628,4.70887193,4.50112758,4.29338323,4.08563888
Heavy Fuel oil,2,9.556240093,9.556240093,9.238852892,8.92146569,8.604078489,8.286691289,8.188205079,8.089718869,7.991232659,7.892746446,7.794260236,7.695774026,7.597287816,7.498801606,7.400315396,7.301829186,7.203342977,7.104856763,7.006370553,6.907884343,6.809398133
Heavy Fuel oil,3,9.556240093,9.556240093,9.510074682,9.46390927,9.41774386,9.371578449,9.382350379,9.393122309,9.403894239,9.414666163,9.425438093,9.436210023,9.446981953,9.457753883,9.468525813,9.479297743,9.490069673,9.500841597,9.511613527,9.522385457,9.533157387
Heavy Fuel oil,4,9.556240093,9.556240093,9.781296472,10.00635285,10.23140923,10.45646561,10.57649568,10.69652575,10.81655582,10.93658588,11.05661595,11.17664602,11.29667609,11.41670616,11.53673623,11.6567663,11.77679637,11.89682643,12.0168565,12.13688657,12.25691664
SOPV,1,2743.333,2650,2443.453258,2236.906516,2030.359774,1823.813032,1617.266289,1410.719547,1204.172805,997.6260631,791.079321,779.0443641,767.0094071,754.9744502,742.9394932,730.9045363,718.8695794,706.8346224,694.7996655,682.7647086,670.7297516
SOPV,2,2743.333,2650,2498.799481,2347.598962,2196.398444,2045.197925,1893.997405,1742.796887,1591.596368,1440.395849,1289.19533,1260.022047,1230.848763,1201.67548,1172.502196,1143.328913,1114.15563,1084.982346,1055.809062,1026.635779,997.4624954
SOPV,3,2743.333,2650,2554.145705,2458.291409,2362.437113,2266.582818,2170.728522,2074.874226,1979.019931,1883.165635,1787.31134,1740.999729,1694.68812,1648.376509,1602.0649,1555.753289,1509.44168,1463.130069,1416.818459,1370.50685,1324.195239
SOPV,4,2743.333,2650,2609.491928,2568.983855,2528.475783,2487.967711,2447.459638,2406.951566,2366.443494,2325.935421,2285.427349,2221.977412,2158.527476,2095.077539,2031.627603,1968.177666,1904.72773,1841.277793,1777.827856,1714.37792,1650.927983
SOMG,1,1741.156,1560,1463.561431,1367.122862,1270.684293,1174.245723,1077.807154,981.3685851,884.930016,788.4914468,692.0528777,683.1332637,674.2136498,665.2940359,656.3744219,647.454808,638.5351941,629.6155801,620.6959662,611.7763523,602.8567383
SOMG,2,1741.156,1560,1491.741055,1423.48211,1355.223165,1286.96422,1218.705275,1150.44633,1082.187385,1013.92844,945.6694948,930.5325031,915.3955119,900.2585203,885.1215289,869.9845373,854.8475461,839.7105544,824.5735631,809.4365715,794.2995802
SOMG,3,1741.156,1560,1519.920679,1479.841358,1439.762038,1399.682716,1359.603395,1319.524074,1279.444753,1239.365433,1199.286112,1177.931743,1156.577374,1135.223005,1113.868636,1092.514267,1071.159898,1049.805529,1028.45116,1007.096791,985.7424221
SOMG,4,1741.156,1560,1548.100303,1536.200606,1524.30091,1512.401213,1500.501516,1488.601819,1476.702122,1464.802426,1452.902729,1425.330982,1397.759236,1370.187489,1342.615743,1315.043996,1287.47225,1259.900503,1232.328757,1204.75701,1177.185264
RESBatt,1,654.5783917,529.9876448,487.7583327,445.5290205,403.2997083,361.0703961,337.7070175,314.3436389,290.9802604,267.6168818,244.2535032,241.2003344,238.1471656,235.0939969,232.0408281,228.9876593,225.9344905,222.8813217,219.8281529,216.7749841,213.7218153
RESBatt,2,654.5783917,529.9876448,496.9496319,463.9116189,430.8736059,397.8355929,378.9426095,360.049626,341.1566426,322.2636592,303.3706757,298.5947972,293.8189187,289.0430403,284.2671618,279.4912833,274.7154048,269.9395263,265.1636478,260.3877693,255.6118908
RESBatt,3,654.5783917,529.9876448,506.1409311,482.2942173,458.4475036,434.6007898,420.1782014,405.7556132,391.3330249,376.9104365,362.4878482,355.98926,349.4906718,342.9920836,336.4934954,329.9949072,323.496319,316.9977308,310.4991426,304.0005544,297.5019662
RESBatt,4,654.5783917,529.9876448,515.3322303,500.6768157,486.0214012,471.3659866,461.4137934,451.4616003,441.5094071,431.5572139,421.6050207,413.3837228,405.1624249,396.941127,388.7198291,380.4985312,372.2772333,364.0559354,355.8346375,347.6133396,339.3920417
COMBatt,1,205.0193508,312.8415918,287.9144348,262.9872777,238.0601207,213.1329637,199.3420072,185.5510507,171.7600943,157.9691378,144.1781813,142.375954,140.5737268,138.7714995,136.9692722,135.167045,133.3648177,131.5625904,129.7603632,127.9581359,126.1559086
COMBatt,2,205.0193508,312.8415918,293.3398833,273.8381747,254.3364662,234.8347577,223.6825902,212.5304226,201.3782551,190.2260875,179.07392,177.8724351,176.6709503,175.4694654,174.2679806,173.0664958,171.8650109,170.663526,169.4620412,168.2605564,167.0590715
COMBatt,3,205.0193508,312.8415918,298.7653318,284.6890718,270.6128118,256.5365517,248.0231731,239.5097945,230.9964159,222.4830373,213.9696586,213.3689162,212.7681738,212.1674314,211.5666889,210.9659465,210.3652041,209.7644617,209.1637193,208.5629768,207.9622344
COMBatt,4,205.0193508,312.8415918,304.1907803,295.5399688,286.8891573,278.2383457,272.3637561,266.4891664,260.6145767,254.739987,248.8653973,248.8653973,248.8653973,248.8653973,248.8653973,248.8653973,248.8653973,248.8653973,248.8653973,248.8653973,248.8653973
